CVA,Photography,Cross Disciplinary,N/A,N/A,N/A,N/A,57.3
RES,Engineering,Design and Technology,N/A,N/A,N/A,N/A,56.9
MRS,Material Products,Design and Technology,N/A,N/A,N/A,N/A,56.9
DGT,Digital Technology,Digital Technologies,N/A,N/A,N/A,N/A,57.7
IPR,Information Processing and Publishing,Digital Technologies,N/A,N/A,N/A,N/A,56.1
ESH,English,English,"KA1, KA2, KA3, AN1, AN2, AN3, AP1, AP2, AP3",N/A,N/A,N/A,57.7
ELS,English Literary Studies,English,"KA1, KA2, KA3, AN1, AN2, AN3, AN4, AP1, AP2, AP3",N/A,N/A,N/A,66.7
ETE,Essential English,English,"CM1, CM2, CP1, CP2, AN1, AN2, AP1, AP2",N/A,N/A,N/A,57.7
HEW,Health and Wellbeing,Health and Physical Education,"CT1, CT2, CT3, AP1, AP2, RP1, RP2",N/A,N/A,N/A,53.1
HWM,IL Health and Wellbeing,Health and Physical Education,N/A,N/A,N/A,N/A,53.1
PEM,IL Physical Education,Health and Physical Education,N/A,N/A,N/A,N/A,56.2
OUT,Outdoor Education,Health and Physical Education,N/A,N/A,N/A,N/A,54.9
PHD,Physical Education,Health and Physical Education,N/A,N/A,N/A,N/A,56.2
ACO,Accounting,Humanities and Social Sciences,N/A,N/A,N/A,N/A,57.4
BNV,Business Innovation,Humanities and Social Sciences,N/A,N/A,N/A,N/A,53.9
ENO,Economics,Humanities and Social Sciences,N/A,N/A,N/A,N/A,60.4
GHY,Geography,Humanities and Social Sciences,N/A,N/A,N/A,N/A,55.3
LES,Legal Studies,Humanities and Social Sciences,N/A,N/A,N/A,N/A,63.3
MOD,Modern History,Humanities and Social Sciences,N/A,N/A,N/A,N/A,58.4
TOS,Tourism,Humanities and Social Sciences,N/A,N/A,N/A,N/A,55.1
ITC,Italian,Languages,N/A,N/A,N/A,N/A,63.3
JAC,Japansese,Languages,N/A,N/A,N/A,N/A,67
MEM,Essential Mathematics,Mathematics,"CT1, CT2, CT3, CT4, RC1, RC2, RC3, RC4, RC5",N/A,SAT FOLIO EXAM,N/A,55.5
MGM,General Mathematics,Mathematics,"CT1, CT2, CT3, CT4, RC1, RC2, RC3, RC4, RC5",N/A,SAT FOLIO EXAM,N/A,55.5
MHS,Mathematical Methods,Mathematics,"CT1, CT2, CT3, CT4, RC1, RC2, RC3, RC4, RC5",N/A,SAT FOLIO EXAM,N/A,64.6
MSC,Specialist Mathematics,Mathematics,"CT1, CT2, CT3, CT4, RC1, RC2, RC3, RC4, RC5",N/A,SAT FOLIO EXAM,N/A,67
REL,Reiligion Studies,Religious Eduction,N/A,N/A,N/A,N/A,60.8
SOC,Religion (Society and Culture),Religious Eduction,N/A,N/A,N/A,N/A,60.8
BGY,Biology,Science,N/A,N/A,N/A,N/A,58
CEM,Chemsitry,Science,N/A,N/A,N/A,N/A,63.2
EES,Earth and Evironmental Sciences,Science,N/A,N/A,N/A,N/A,53.7
NTN,Nutrition,Science,N/A,N/A,N/A,N/A,53.1
PYI,Physics,Science,"IAE1, IAE2, IAE3, IAE4, KA1, KA2, KA3, KA4",N/A,N/A,N/A,62.3
PSC,Psychology,Science,N/A,N/A,N/A,N/A,58
CSD,Child Studies,Technology and Food,N/A,N/A,N/A,N/A,56.1
FOH,Food & Hospitality,Technology and Food,N/A,N/A,N/A,N/A,56.9
DCE,Dance,The Arts,N/A,N/A,N/A,N/A,57
DMA,Drama,The Arts,"KU1, KU2, CCT1, CCT2, CA1, CA2, CA3",N/A,N/A,N/A,58.5
CVM,IL Performing Arts,The Arts,N/A,N/A,N/A,N/A,57.3
MEB,Music Ensemble Performance,The Arts,N/A,N/A,N/A,N/A,62.8
MSI,Music Explorations (Performance),The Arts,N/A,N/A,N/A,N/A,62.8
MEX,Music Explorations (Technology),The Arts,N/A,N/A,N/A,N/A,62.8
MSO,Music Solo Performance,The Arts,N/A,N/A,N/A,N/A,62.8
VAA,Visual Arts - Art,The Arts,N/A,N/A,N/A,N/A,57.3
VAD,Visual Arts - Design,The Arts,N/A,N/A,N/A,N/A,57.3
